Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Hood Container Corporation,Containerboard & Packaging,"Atlanta, GA","~1,300",,52,5,0,0,1,"5 relevant open roles incl. Maintenance Manager (St. Francisville, LA mill), Manufacturing Maintenance Technician (Sandston, VA), Manufacturing Maintenance Technician (Sumter, SC), Maintenance Technician (Walker, MI), Maintenance Mechanic; board at 52 total | Expansion: Two Chicago industrial leases totaling 391,000+ sq ft for corrugated operations, reported Mar 2026","Family-owned mill-to-box network hiring five maintenance roles including a Maintenance Manager at its Louisiana containerboard mill and a 391,000 sq ft Chicago expansion; kraft mills are asset-intensive and the wave of openings suggests a reliability org still building from scratch.",https://hoodcontainer.com/careers
Trex Company,Building Products (Composite Decking),"Winchester, VA","~2,000",,59,4,0,1,0,"4 relevant open roles incl. Senior Industrial Maintenance Technician (Winchester, VA), Senior Industrial Maintenance Technician (Fernley, NV), Senior Industrial Maintenance Technician (Little Rock, AR) and additional maintenance role | Leadership: Zachary C. Lauer appointed SVP and Chief Operations Officer, May 4 2026 (SEC 8-K)","New COO as of May 2026 and senior maintenance hiring at three composite decking plants (VA, NV, AR); extrusion lines running 24/7 with a fresh ops leader building his agenda is prime timing for predictive maintenance.",https://www.trex.com/our-company/careers/
Buckeye Corrugated Inc (BCI),Corrugated Packaging,"Fairlawn, OH","~1,000",,57,4,0,0,1,"4 relevant open roles incl. Maintenance Technician III (Syracuse, NY), Maintenance Technician - 3rd shift (Houston, TX), Maintenance Technician - 2nd Shift (Sioux Falls, SD), Maintenance Technician - 3rd Shift (additional location) | Expansion: First ground-up plant: 100,000 sq ft corrugated facility in Reno, NV; opened Jan 2026, grand opening Jun 12","Employee-owned 12-plant corrugated network hiring maintenance techs in four locations while activating its first new-build plant in Reno; die cutters, folder gluers and conveyors across 12 sites with no central reliability program.",https://jobs.lever.co/bcipkg
Billerud North America,Pulp & Paper,"Miamisburg, OH (parent: Billerud AB, Sweden)","~1,700",,27,5,0,0,0,"5 relevant open roles from North America vacancies: Electrical and/or Instrumentation Technician, Electrical and Instrumentation Maintenance Planner, Millwright (Quinnesec), Machinist Maintenance (Quinnesec, MI), Heavy Equipment Maintenance Technician (Quinnesec, MI) of 27 North America total (Electrical Maintenance Supervisor req closed this cycle) | Expansion: $127M Escanaba/Quinnesec paperboard conversion work underway through 2026","Two Upper Michigan mills mid-conversion to paperboard with five active maintenance and instrumentation roles; paper machines in transition are exactly where vibration and energy monitoring earn their keep.",https://www.billerud.com/career/vacancies/vacancies-north-america
Ring Container Technologies,Plastics Packaging (PET/HDPE),"Oakland, TN",~800,,15,3,0,0,1,"3 relevant open roles incl. Maintenance Technician II (board contracted from 86 to 15 as Whitestown, IN plant ramped and filled roles) | Expansion: $77M plastic container plant in Whitestown, IN opened mid 2026","Board contracted sharply as Whitestown plant stood up and hired; three maintenance tech roles remain active across other US plants. Multi-plant PET/HDPE network is the condition-monitoring pitch on the residual board.",https://www.ringcontainer.com/careers
DrinkPAK,Beverage Co-Manufacturing,"Santa Clarita, CA","~1,000",,30,3,0,0,1,"3 relevant open roles incl. Sr. Maintenance Manager (Santa Clarita, CA), Senior Plant Engineering Manager (Santa Clarita, CA), Senior Plant Engineering Manager (Fort Worth, TX) | Expansion: Fort Worth, TX campus (two facilities, ~$452M, 1,000 jobs by 2026) ramping through 2026; 1.4M sq ft high-acid","Hiring a Sr. Maintenance Manager and two Senior Plant Engineering Managers while ramping one of the largest new beverage plants in the country; Krones lines at 2,600 cans/minute make downtime brutally expensive.",https://drinkpak.com/careers
Janicki Industries,Aerospace Composites & Machining,"Sedro-Woolley, WA",~900,,132,2,0,0,1,"2 relevant open roles incl. Engineering Manager - Maintenance (Hamilton, WA), Facilities Maintenance Technician, Weekend Shift (Hamilton, WA) | Expansion: $800M advanced-manufacturing campus in Great Falls, MT: groundbreaking Jul 11 2026; 2M sq ft over a decade, 1,000 jobs","Aerospace composites and precision machining shop hiring a maintenance engineering manager while breaking ground on an $800M second campus; five-axis mills, autoclaves and CNC assets are high-value condition-monitoring targets.",https://www.janicki.com/careers/
Tropical Cheese Industries,Food Processing (Dairy & Meats),"Perth Amboy, NJ",~300,"AUA Private Equity-backed; acquired Cibao Meat Products (Rockaway, NJ), Jan 13 2026, adding a meats processing facility",10,1,1,0,0,"1 relevant open role: Maintenance Mechanic (confirmed via LinkedIn, Jan 2026 acquisition integrated) | Funding: AUA Private Equity-backed; acquired Cibao Meat Products (Rockaway, NJ) on Jan 13 2026, adding a meats processing facility","PE-backed Hispanic foods platform that bolted on a meat plant now has an active Maintenance Mechanic req; integrating two refrigerated-food facilities under one ops org is a natural moment to standardize CMMS and monitoring.",https://www.tropicalcheese.com/careers
Southeastern Container,Plastics Packaging (PET Bottles),"Enka/Candler, NC","~1,000",,2,1,0,0,1,"1 relevant open role incl. Maintenance Mechanic Blowmolding (board at 2 total, down from 6) | Expansion: $31M modernization and closure-capacity expansion in Asheville, NC announced Mar 2026, hiring 12 over 18 months","Coca-Cola co-op-owned PET bottle maker running 24/7 blow molding across multiple plants, with a $31M modernization underway and a maintenance mechanic open on 12-hour shift.",https://www.secontainer.com
Rand-Whitney,Corrugated Packaging & Displays,"Worcester, MA","~1,000",,14,1,0,0,1,"1 relevant open role incl. Maintenance Mechanic Class A (Red Lion, PA) | Expansion: Three new facilities announced Mar 2026: El Paso, TX plus Juarez and Reynosa, Mexico, with digital printers","Kraft Group packaging arm adding three North American facilities at once while hiring plant maintenance in PA; a fast-expanding corrugated/display footprint with no unified reliability layer.",https://www.randwhitney.com
