Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Lovable,,"Stockholm, Sweden",~150,"Series B, $330M at $6.6B valuation, Dec 2025",66,5,1,0,1,"5 relevant open roles incl. Design Engineer, Product Manager, Growth Engineer and additional product engineering roles | Funding: Series B, $330M at $6.6B valuation, Dec 2025 | Expansion: Hit $500M ARR in June 2026, hiring across SF, London and Boston offices","Hyper-growth vibe coding leader at $500M ARR with 5 relevant product and analytics roles open across SF, London, and Boston offices; a $330M Series B in December 2025 confirms the growth phase is in full swing.",https://lovable.dev/careers
Linear,,"San Francisco, CA, USA (fully remote-first, distributed North America and Europe)",~210,,7,5,0,0,1,"5 relevant open roles incl. Senior/Staff Product Engineer (x3 EU + NA), Product Engineer, Product Manager | Expansion: Launched Linear Agent public beta (Mar 2026) and Diffs in-app code review (May 2026)","The archetypal product engineer culture with 5 open product engineer and PM roles and a 2026 AI agent product push; last round (Series C $82M, Jun 2025, Accel) just predates the funding window.",https://linear.app/changelog
Granola,,"London, UK (engineering in London, GTM in San Francisco)",~60,"Series C, $125M at $1.5B valuation, Mar 2026",11,3,1,0,1,"3 relevant open roles incl. Product Engineer and Design Engineer (some Product Engineer reqs now closed) | Funding: Series C, $125M at $1.5B valuation, Mar 2026 | Expansion: Enterprise push: launched Spaces, admin APIs and MCP server; enterprise customers include Benchmark and a16z portfolio companies","Product Engineer culture: 3 open product and design engineering roles plus fresh Series C capital; enterprise expansion into Benchmark and a16z portfolio companies makes analytics a board-level conversation.",https://jobs.ashbyhq.com/granola
Mintlify,,"San Francisco, CA, USA",~65,"Series B, $45M at $500M valuation, Apr 2026",12,2,1,0,1,"2 relevant open roles incl. Product Engineer and Senior Product Engineer | Funding: Series B, $45M at $500M valuation, Apr 2026 | Expansion: Docs platform for 20,000+ companies incl. Anthropic; ~$10M ARR end of 2025 (10x YoY); pivoting to documentation and product intelligence platform","Just raised, 10x ARR growth, and two open Product Engineer roles; small enough that one champion converts the whole stack.",https://mintlify.com/blog/series-b
Braintrust,,"San Francisco, CA, USA",~100,"Series B, $80M at $800M valuation, Feb 2026",16,2,1,0,1,"2 relevant open roles: Software Engineer Product, Design Engineer (PLG PM and Data Engineer reqs closed) | Funding: Series B, $80M at $800M valuation, Feb 2026 | Expansion: Expanding from evals into full AI observability layer (Brainstore database), growing eng and product team","Hiring Product and Design engineers; fresh Series B and geographic expansion compound it.",https://braintrust.dev/blog/announcing-series-b
Attio,,"London, UK (hybrid, also hiring US/remote)",~150,,12,4,0,0,1,"4 relevant open roles incl. Product Engineer, Senior Product Engineer and additional product engineering roles | Expansion: Launched Ask Attio agentic AI assistant plus MCP server and web research agent (Feb 2026)","Four open Product Engineer roles at every level; Series B ($52M, GV) closed Aug 2025; employee count is a low confidence estimate (100-200).",https://attio.com/blog/attio-raises-52m-series-b
Render,,"San Francisco, CA, USA",~130,"Series C extension, $100M at $1.5B valuation, Feb 2026",6,1,1,0,1,"1 relevant open role: Software Engineer, Product (remote US/Canada; Ashby board at 6 total) | Funding: Series C extension, $100M at $1.5B valuation, Feb 2026 | Expansion: 4.5M+ developers on platform, revenue growth above 100% YoY, positioning as the cloud for AI applications","Fresh $100M and a dedicated Software Engineer - Product req open; classic PLG infra company where engineers pick the analytics stack.",https://jobs.ashbyhq.com/render
n8n,,"Berlin, Germany",~950,"Series C, $180M at $2.5B valuation, Oct 2025",6,1,1,0,1,"1 relevant open role: AI Product Manager (Sr Growth Engineer req closed) | Funding: Series C, $180M at $2.5B valuation, Oct 2025 | Expansion: Multi-year SAP deal embedding n8n in SAP Joule Studio (May 2026); 1,400+ enterprise customers","AI Product Manager open right now, a textbook product-analytics buyer role; Series C $180M and SAP deal remain strong signals. Headcount estimate (950 via Revelio/Tracxn) is the biggest data caveat, other trackers show far lower.",https://blog.n8n.io/series-c
Railway,,"San Francisco, CA, USA (remote-first, ~35 people globally)",~35,"Series B, $100M, Jan 2026",7,1,1,0,1,"1 relevant open role: Senior Full-Stack Engineer - Product (board at 7 total) | Funding: Series B, $100M, Jan 2026 | Expansion: 2M+ developers, 10M+ deployments/month, 31% of Fortune 500 using platform; expanding global infrastructure","Fresh $100M on a ~35 person team; a Senior Full-Stack Engineer - Product role just posted, signaling the next product build cycle is starting. Get in while the analytics stack is still being evaluated.",https://blog.railway.com/p/series-b
Vapi,,"San Francisco, CA, USA",~100,"Series B, $50M at ~$500M valuation, May 2026",10,0,1,0,1,"0 relevant open roles (MTS Product and MTS Backend open; not qualifying per product-analytics ICP definition) | Funding: Series B, $50M at ~$500M valuation, May 2026 | Expansion: Won Amazon Ring over 40 rivals; Ring routes 100% of inbound calls through Vapi; crossed 1B+ API calls/month","Fresh Series B and marquee Amazon Ring win confirm scale; no product-analytics ICP-aligned roles open this cycle. Monitor for a product manager or analytics engineer req as the enterprise pipeline grows.",https://vapi.ai/blog/series-b
Supabase,,"San Francisco, CA, USA (fully remote, staff in 35+ countries)",~350,"Series F, $500M at $10.5B valuation, Jun 2026",9,0,1,0,1,"0 relevant open roles (product or analytics req closed) | Funding: Series F, $500M at $10.5B valuation, Jun 2026 | Expansion: Valuation doubled to $10.5B in 8 months (Jun 2026); ~$170M ARR May 2026 per Sacra; database-to-platform expansion underway","Two rounds in 8 months and $170M ARR confirm the platform is scaling; product or analytics req closed this cycle. Monitor for the next product engineering hire as the database-to-platform pivot matures.",https://supabase.com/blog/supabase-series-e
Baseten,,"San Francisco, CA, USA",~280,"Series F, $1.5B at $13B valuation, Jun 2026",10,0,1,0,1,"0 relevant open roles (Product Engineer - Dedicated Inference req closed; board at 10 total) | Funding: Series F, $1.5B at $13B valuation, Jun 2026 | Expansion: 1B+ inference requests/day across 87 clusters on 18 clouds; ~20x YoY revenue growth; tripling headcount","Product Engineer req also closed; all product and growth engineering roles are now closed this cycle. June 2026 Series F and $13B valuation make this a strong monitor - watch for the next product engineering or PM cycle.",https://jobs.ashbyhq.com/baseten
LangChain,,"San Francisco, CA, USA (majority of roles SF/Bay Area, some remote)",~280,"Series B, $125M at $1.25B valuation, Oct 2025",11,0,1,0,1,"0 relevant open roles (LangSmith PM and Growth & Monetization eng reqs closed; Ashby board down to 11 total) | Funding: Series B, $125M at $1.25B valuation, Oct 2025 | Expansion: Shipped LangChain and LangGraph 1.0, Insights Agent, and no-code agent builder (Oct 2025)","Product/growth reqs have closed this cycle; the fresh unicorn status and LangSmith product analytics platform remain strong longer-term signals. Monitor for next product/growth hiring wave.",https://langchain.com/blog/series-b
ElevenLabs,,"New York, NY, USA (hubs in London and Warsaw)","~1,000","Series D, $500M at $11B valuation, Feb 2026",10,0,1,0,1,"0 relevant open roles (Full-Stack Growth Engineer and product reqs closed; Ashby board down to 10 total) | Funding: Series D, $500M at $11B valuation, Feb 2026 | Expansion: Crossed $500M ARR in May 2026, restructured around ElevenAgents / ElevenCreative / ElevenAPI","Growth and product-analytics reqs have closed; $500M ARR and AI product restructuring remain strong longer-term signals. Monitor for next product/growth hire cycle.",https://elevenlabs.io/blog/series-d
Gamma,,"San Francisco, CA, USA (strongly in-office)",~60,"Series B, $68M at $2.1B valuation, Nov 2025",16,0,1,0,1,"0 relevant open roles (Growth eng, AI Data Scientist reqs closed; Ashby board up to 16 total) | Funding: Series B, $68M at $2.1B valuation, Nov 2025 | Expansion: Surpassed $100M ARR with 70M users and 2+ years of profitability (Nov 2025); shipped Gamma 3.0","$100M ARR with about 60 people is extreme PLG efficiency; Growth engineer and AI Data Scientist openings closed this cycle - monitor for the next hiring wave as the team scales.",https://jobs.ashbyhq.com/gamma
Clerk,,"San Francisco, CA, USA (fully remote, global team)",~150,"Series C, $50M, Oct 2025",0,0,1,0,1,"Funding: Series C, $50M, Oct 2025 | Expansion: Agent Identity push post Series C; 2026 GA releases incl. Android SDK GA, SCIM Directory Sync","Strong ICP fit and a fresh war chest but zero open roles (confirmed via Ashby API); the interesting Watch story is catching the hiring restart the moment Agent Identity scales.",https://clerk.com/careers
Resend,,"San Francisco, CA, USA (remote-first, async team)",~35,,14,2,0,0,1,"2 relevant open roles incl. Product Engineer | Expansion: Hit 1 million users about 30 months after launch (Dec 2025); acquired Briefer in Aug 2025; ARR growing strongly","Two Product Engineer openings on a ~35 person team and 1M users; last round is a Dec 2024 Series A (a16z) so budget may be tighter, but developer-first DNA is a perfect ICP match.",https://resend.com/blog/series-a
Hex,,"San Francisco, CA, USA (with New York office and remote presence)",~150,,1,1,0,0,1,"1 relevant open role: Growth/Monetization Engineer (Ashby board now active with 1 total role) | Expansion: Fall 2025 launch introduced the Notebook Agent and team-focused agentic analytics","Hex's Ashby board returned with a Growth/Monetization Engineer req this cycle; a signal the team is building a commercial motion around the agentic analytics platform. Series C ($70M, Avra) from May 2025 is now outside the funding window.",https://hex.tech/blog/fall-2025-launch
Raycast,,"London, UK (remote-first)",~45,,0,0,0,0,1,"Expansion: Raycast 2.0 public beta launched May 2026 with Windows support and built-in AI","Windows expansion doubles the addressable user base overnight, which eventually forces analytics questions; but no open roles and no fresh funding (last round Sep 2024), so watch only.",https://raycast.com/careers
