Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Headway,,"New York, NY, USA","~3,200",,6,1,0,0,0,"1 relevant open role: Staff Data Infrastructure Engineer (board contracted from 10 data roles to 1; total board now 6)","Most prior data engineering and data science roles have closed; only Staff Data Infrastructure Engineer remains on the Ashby board. A mental health marketplace with experimentation and causal inference workloads still fits the warehouse profile - re-engage when data hiring resumes. Note: headcount trackers range 3.2K to 4.3K, above the ICP band, likely inflated by the provider network.",https://jobs.ashbyhq.com/headway
Faire,,"San Francisco, CA, USA","~1,532","Series I, $100M, November 2025",72,5,1,0,1,"5 relevant open roles incl. Director of Data Ads, Senior Analytics Engineer - Marketplace (x2 SF + Toronto), Senior Staff Data Engineer - Platform Data (x2 SF + Ontario) | Funding: Series I, $100M, November 2025 | Expansion: Doubling down on AI-led wholesale commerce and scaled logistics; Ship with Faire moved 5M+ orders","Two dedicated Analytics Engineer openings plus a Senior Staff Data Engineer for its data platform, fresh capital from November 2025, and an AI push across a wholesale marketplace generating heavy event and logistics data. Valuation reset (down from $12.6B in 2022) means cost pressure on the data stack is a live conversation.",https://faire.com/news
Ramp,,"New York, NY, USA","~3,000","Series F, $750M, June 2026",7,0,1,1,1,"0 relevant open roles (data engineering/science roles closed; board has 7 total) | Funding: Series F, $750M, June 2026 | New leadership: Rahul Sengottuvelu appointed CTO in June 2026 as co-founder Karim Atiyeh became co-CEO | Expansion: Also raised at a $32B valuation in Nov 2025; expanding beyond corporate cards into AI spending intelligence","The $750M June 2026 round and new CTO remain strong signals; data platform roles closed this cycle but Ramp's spend-intelligence product generates heavy analytics load. Monitor for data engineering reqs as the new leadership team rebuilds the platform org. Caveat: ~3,000 employees and a $44B valuation stretches past the midmarket band.",https://jobs.ashbyhq.com/ramp
Mercury,,"San Francisco, CA, USA","~1,582","Series D, $200M, May 2026",55,1,1,0,1,"1 relevant open role (data engineering) | Funding: Series D, $200M, May 2026 | Expansion: Received conditional OCC approval to become a federally regulated national bank in spring 2026","The $200M May 2026 round and conditional OCC bank charter approval now pair with an open data role; compliance reporting for a national bank drives substantial analytics workloads. Engage now while the data infrastructure decisions are in flight.",https://job-boards.greenhouse.io/mercury
Komodo Health,,"San Francisco, CA, USA",~788,,32,4,0,1,1,"4 relevant open roles incl. Senior Data Engineer (x2), Staff Data Engineer, Senior Research Data Analyst | New leadership: Amit Sangani named Chief Technology Officer in January 2026, leading technology, engineering | Expansion: Made its healthcare analytics AI platform available in AWS Marketplace (Dec 2025); also named Miles Ennis President and elevated co-founder Web Sun to co-CEO (June 2026)","A healthcare data company whose product IS large-scale analytics, with a brand new CTO (Jan 2026) setting AI platform strategy and two open data engineering roles. New technical leadership at a data-native company is the ideal moment to pitch a cheaper, simpler warehouse layer.",https://job-boards.greenhouse.io/komodohealth
Quince,,"San Francisco, CA, USA","~1,808","Series E, $500M, March 2026",146,6,1,0,1,"6 relevant open roles incl. Staff Data Analyst, Data Scientist, Senior Analytics Engineer, Senior Data Engineer and additional data roles | Funding: Series E, $500M, March 2026 | Expansion: Launched in Canada in January 2026, its first international market, with a dedicated Toronto office","One of the fastest-growing e-commerce brands in the US ($1B+ revenue in 2025, $500M raised March 2026) is now international with six open data roles. Storefront analytics and demand forecasting workloads scale with every new market - this is a clear outreach target.",https://job-boards.greenhouse.io/quince
Attentive,,"New York, NY, USA","~1,500",,45,3,0,0,1,"3 relevant open roles incl. Staff Data Engineer (Cloud Optimization), Senior Analytics Engineer and additional analytics role | Expansion: Record Cyber Week 2025 (Nov 2025): drove about $2B in brand revenue across SMS, email, and channels; 5.7B messages in one week","Three active data engineering and analytics reqs at a platform that processed 5.7B messages in one Cyber Week confirms serious event-data scale; no recent round (Series E was 2021), so cost efficiency and cloud optimization are the wedge angles.",https://job-boards.greenhouse.io/attentive
Wealthsimple,,"Toronto, Ontario, Canada","~2,157","Growth equity round, CAD $750M ($550M primary plus up to $200M secondary), October 2025",8,0,1,0,1,"0 relevant open roles (data science roles closed; Ashby board shows 8 total - may be US-only view) | Funding: Growth equity round, CAD $750M ($550M primary plus up to $200M secondary), October 2025 | Expansion: Announced a sweeping push into everyday banking in May 2026: Wealthsimple Households, kids and teen accounts, everyday banking accounts","CAD $750M raised October 2025 and a May 2026 leap from investing app to full everyday banking; assets under administration doubled to $100B, and every new banking product multiplies transaction analytics volume. Active data science hiring in crypto and AI products shows the data org is growing.",https://newsroom.wealthsimple.com
Gusto,,"San Francisco, CA, USA","~2,500","Series F, $175M, October 2025",92,4,1,0,1,"4 relevant open roles incl. Data Scientist and additional data engineering and analytics roles | Funding: Series F, $175M, October 2025 | Expansion: Closed its ~$600M acquisition of Guideline (401k provider) in November 2025 and acquired Mosey (May 2026)","Four active data roles plus two acquisitions in six months (Guideline, Mosey) mean the post-acquisition platform unification is actively being staffed - engage now while the warehouse architecture decisions are in flight. Size (~2,500 employees) sits at the top of the ICP band.",https://job-boards.greenhouse.io/gusto
project44,,"Chicago, IL, USA",~772,,34,1,0,1,1,"1 relevant open role (data analytics) | New leadership: Vinay Mathur named Chief Technology Officer, June 2026 | Expansion: Acquired LunaPath.AI in April 2026, adding AI execution agents to its supply chain visibility platform; new VPs of engineering and product also appointed","A supply chain visibility platform by definition, project44 just installed a Stripe-pedigree CTO (June 2026) weeks after acquiring LunaPath.AI, and has an active data analytics role open. New technical leadership reviewing the stack is the moment to be in the room.",https://job-boards.greenhouse.io/project44
