Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Baseten,,"San Francisco, CA",~300,"Series E, $300M at $5B valuation, Jan 2026 (IVP and CapitalG)...",10,2,1,0,1,"2 relevant open roles: Site Reliability Engineer, Cloud Platform Engineer (board contracted from 72 to 10 total) | Funding: Series E, $300M at $5B valuation, Jan 2026 (IVP and CapitalG)... | Expansion: Annualized revenue run rate jumped from about $200M to $600M in one quarter of 2026 as...","GPU inference fleet with revenue tripling in one quarter; board has contracted sharply but SRE and Cloud Platform Engineer reqs confirm the reliability org is still being built.",https://baseten.co/blog
Temporal Technologies,,"Bellevue, WA",~700,"Series D, $300M at $5B valuation, Feb 2026",71,4,1,0,1,"4 relevant open roles incl. Senior Software Engineer Observability, Staff Software Engineer Observability, Staff Software Engineer Infrastructure Foundations, Senior Staff Software Engineer Infrastructure | Funding: Series D, $300M at $5B valuation, Feb 2026 | Expansion: Temporal Cloud passed 2,500 customers with revenue up 4.4x in 18 months; 7M+ unique clusters...",Two dedicated observability engineer reqs plus two infrastructure reqs open after a $300M Series D; Temporal Cloud runs mission-critical workflows where every outage is a customer incident.,https://temporal.io/news
Whatnot,,"Los Angeles, CA (SF/NYC/LA + Krakow eng hub)","~1,000","Series F, $225M, Oct 15 2025, $11.5B valuation, DST Global + CapitalG",134,7,1,0,1,"7 relevant open roles incl. Software Engineer, Infrastructure (Krakow), Engineering Manager, Backend Platforms, ML Infrastructure Engineer | Funding: Series F, $225M, Oct 15 2025, $11.5B valuation, DST Global + CapitalG | Expansion: 1 billion lifetime orders (Jun 2026); largest livestream shopping platform in NA and Europe...",Live video commerce means real time infrastructure where seconds of downtime kill auctions; fresh $225M and a new European engineering hub with infra reqs open on both continents.,https://jobs.ashbyhq.com/whatnot
Supabase,,"San Francisco, CA (remote-first, global)",~200,"Series E, $100M at $5B valuation, Oct 2025",8,0,1,0,1,"0 relevant open roles (Head of Observability and SRE reqs closed; Ashby board down to 8 total) | Funding: Series E, $100M at $5B valuation, Oct 2025 | Expansion: Reported $500M raise at $10.5B valuation Jun 2026 per CNBC; 4M+ developers as vibe coding boom...","The observability reqs that made this a top account have closed; the $500M raise and 4M+ developer platform remain strong signals. Monitor for the next Head of Observability or SRE req.",https://supabase.com/blog/supabase-series-e
Render,,"San Francisco, CA",~150,"Series C extension, $100M at $1.5B valuation, Feb 2026",6,0,1,0,1,"0 relevant open roles (compute/network infra and platform mgr reqs closed; Ashby board down to 6 total) | Funding: Series C extension, $100M at $1.5B valuation, Feb 2026 | Expansion: 4.5M+ developers on platform, adding 250K+ per month; building unified AI application runtime...","Infrastructure reqs that made this a strong account have closed; multi-tenant reliability is still the core product challenge at this scale. Monitor for the next infra engineering cycle.",https://render.com/blog/series-c
Kalshi,,"New York, NY",~300,"Series F, $1B at $22B valuation, May 2026",9,2,1,0,1,"2 relevant open roles: Site Reliability Engineer, Infrastructure Engineer | Funding: Series F, $1B at $22B valuation, May 2026 | Expansion: Institutional adoption accelerating with Morgan Stanley and ARK on the cap table; eyeing 2027...","A regulated real time trading exchange growing this fast cannot tolerate latency or downtime, and it has SRE and infrastructure reqs open alongside a war chest.",https://jobs.ashbyhq.com/kalshi
Chainguard,,"Kirkland, WA (remote-first)",~550,$280M growth investment from General Catalyst Customer Value Fund...,79,0,1,0,1,"0 relevant open roles (platform and infra reqs closed; Greenhouse board has 79 total skewed to sales/CS) | Funding: $280M growth investment from General Catalyst Customer Value Fund... | Expansion: ARR grew 7x to $40M in FY2025 with a stated target of $100M+ ARR by end of FY2026; massive...","Infrastructure reqs have closed; the pipeline monitoring workload and rapid ARR growth remain strong longer-term signals. Monitor for platform engineering reqs as customer footprint grows.",https://job-boards.greenhouse.io/chainguard
Strava,,"San Francisco, CA (+Denver)",~950,"Confidential draft S-1 filed Feb 2026, IPO expected 2026 at ~$3B (no...",6,2,1,0,1,"2 relevant open roles (board contracted; careers page is JS-rendered - prior values partially verified) | Funding: Confidential draft S-1 filed Feb 2026, IPO expected 2026 at ~$3B (no... | Expansion: Acquired Runna (Apr 2025) + The Breakaway (May 2025); headcount up ~45% YoY; IPO prep","IPO prep forces reliability discipline across a consumer platform absorbing two acquisitions; board has contracted but platform engineering reqs remain open.",https://press.strava.com
Plaid,,"San Francisco, CA","~1,300",,8,0,0,0,1,"0 relevant open roles (SRE and infra reqs closed; Ashby board down to 8 total) | Expansion: Revenue up 40% to $500M+; 150M+ consumers connected; tender offer at $8B valuation Feb 2026...","SRE and infrastructure reqs have closed; bank connectivity remains an uptime-critical use case. Monitor for the next SRE cycle as IPO prep and 150M consumer connections drive reliability investment.",https://jobs.ashbyhq.com/plaid
Ramp,,"New York, NY","~1,500","Series F, $750M at $44B valuation, Jun 2026",7,0,1,0,1,"0 relevant open roles (production eng and platform reqs closed; Ashby board down to 7 total) | Funding: Series F, $750M at $44B valuation, Jun 2026 | Expansion: TPV grew ~170% YoY in Mar 2026, fastest in three years; expanding into AI token spend...","Production engineering and platform reqs have closed; payments volume growing 170% keeps the observability problem real. Monitor for next infra hiring cycle post Series F.",https://jobs.ashbyhq.com/ramp
Chess.com,,"Fully remote, 600+ people in 60+ countries",~600,CVC Capital Partners investment Jun 2026 (Fund IX),2,2,1,0,1,"2 relevant open roles incl. Site Reliability Engineer (leading the hybrid cloud migration), Database Engineer | Funding: CVC Capital Partners investment Jun 2026 (Fund IX) | Expansion: 250M registered members (50M added in ~1 yr), 38M MAU, ~$150M revenue profitable; active...","An SRE req that explicitly leads a bare metal to hybrid cloud migration is the single best timing signal an observability seller can get, backed by fresh PE money.",https://chess.com/news
Gemini,,"New York, NY",~650,"IPO Sep 12 2025 on Nasdaq (GEMI), raised $425M at ~$3.3B valuation",35,1,1,0,0,"1 relevant open role: Senior Enterprise Infrastructure Engineer (Platform Security reqs closed) | Funding: IPO Sep 12 2025 on Nasdaq (GEMI), raised $425M at ~$3.3B valuation",Newly public crypto exchange with 24/7 trading uptime obligations and quarterly reporting scrutiny on infrastructure spend; infra and platform reqs open.,https://job-boards.greenhouse.io/embed/job_board?for=gemini
Polymarket,,"New York, NY",~200,ICE (NYSE owner) invested $1B Oct 2025 plus $600M follow-on Mar 2026...,12,1,1,0,1,1 relevant open role: Senior Infrastructure Engineer | Funding: ICE (NYSE owner) invested $1B Oct 2025 plus $600M follow-on Mar 2026... | Expansion: US platform relaunched Dec 2 2025 via CFTC licensed QCEX acquisition; iOS waitlist dropped May...,"US relaunch plus app rollouts multiply traffic on a real time market platform; only one infra req open so far, which means the observability decision is still early and winnable.",https://jobs.ashbyhq.com/polymarket
Tailscale,,"Toronto, Canada (remote-first)",~327,,38,2,0,0,1,"2 relevant open roles incl. Infrastructure Engineer, Security Infrastructure Engineer | Expansion: Moving upmarket from small teams to enterprise platform after Apr 2025 $160M Series C (outside...","Enterprise push means enterprise grade SLAs on their coordination plane; two infra reqs open, but funding is aging so this is a monitor and time it account.",https://tailscale.com/blog/series-c
Zip,,"San Francisco, CA",~600,,131,2,0,0,1,"2 relevant open roles incl. Software Engineer, Core Infrastructure (Mid-Senior level), Senior Software Engineer, Developer Platform | Expansion: $355B in cumulative customer spend processed; launched Enterprise Transformation Office with...","Core infrastructure hiring at an enterprise procurement platform signals platform maturation, but with no fresh capital event this is a nurture account.",https://ziphq.com/blog
Alloy,,"New York, NY",~412,,21,1,0,0,1,1 relevant open roles incl. Lead Site Reliability Engineer | Expansion: Launched perpetual KYB and Customer Risk Assessment orchestration in UK and Europe Jan 2026...,"A Lead SRE opening suggests they are formalizing reliability practice for the first time, and European expansion adds a second region to monitor; small but real entry point.",https://alloy.com/about/press
Tubi,,"San Francisco, CA (Fox Corporation subsidiary)",~900,,30,1,0,0,1,"1 relevant open roles incl. Senior Manager, Site Reliability Engineering | Expansion: Streaming 1B+ hours per month to 100M MAU; $1.1B FY2025 revenue with 19% YoY growth and first...","Hiring a Senior Manager of SRE means the reliability org is being built or rebuilt, a classic evaluation trigger at a streamer where buffering equals churn; corporate parent procurement adds friction, so watch tier.",https://corporate.tubitv.com
Hopper,,"Montreal, Canada (fully remote)","~1,100",,108,0,0,0,1,"Expansion: HTS B2B arm expanding fast 2026: Capital One milestone + RBC Avion (Mar 2026), first APAC...","Known GCP and Kubernetes shop whose B2B travel infrastructure now backs bank branded portals with contractual uptime; no infra req open today, so watch for the next SRE posting.",https://hts.hopper.com/news
StockX,,"Detroit, MI","~1,500",,32,0,0,0,1,Expansion: StockX Live announced Jun 9 2026 - real-time livestream auctions launching summer 2026...,Livestream auctions launching this summer will stress real time infrastructure they have never run at scale; get in before the reqs post.,https://job-boards.greenhouse.io/stockx
OfferUp,,"Bellevue, WA",~333,,7,1,0,0,0,1 relevant open roles incl. Senior Cloud Engineer | Contraction - 20%+ layoffs Oct 2025 after 22% Dec 2024,"Negative fit example: one cloud req cannot offset back to back layoff rounds; budget is shrinking, do not prioritize outbound here.",https://job-boards.greenhouse.io/offerup
