Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
ClickHouse,Data Infrastructure,"San Francisco, CA",,"Series D, $400M, Jan 2026, led by Dragoneer",174,1,1,1,1,"1 code-review-relevant open roles (1 application security) of 174 on the board: Senior Product Security Engineer | Funding: Series D, $400M, Jan 2026, led by Dragoneer | Expansion: acquired Langfuse and launched a native Postgres service alongside the round, Jan 2026","ClickHouse took $400M in January and immediately opened two brand new engineering surfaces at once, a native Postgres service and the acquired Langfuse codebase, while hiring Principal and Senior engineers specifically for Postgres. Merging an outside codebase and standing up a new transactional engine in parallel is precisely when review depth and regression risk stop scaling with the team.",https://boards-api.greenhouse.io/v1/boards/clickhouse/jobs
Mercor,AI Talent and Data Marketplace,"San Francisco, CA",,"Series C, $350M, Oct 2025, led by Felicis, at a $10B valuation",10,1,1,1,1,"1 code-review-relevant open roles (1 application security) of 10 on the board (Ashby board contracted from 85 to 10 this cycle) | Funding: Series C, $350M, Oct 2025, at a $10B valuation | Expansion: engineering split across San Francisco and New York","Mercor's board contracted from 85 to 10 total; AppSec req confirmed active. Funding signal and multi-city engineering split are live. Reach the security engineering team before the review tooling decision locks in.",https://api.ashbyhq.com/posting-api/job-board/mercor
Netskope,Cloud and Network Security (SASE),"Santa Clara, CA",,"IPO, Nasdaq NTSK, 18 Sept 2025, priced at $19.00 per share, approximately $908M raised at roughly a $7.3B pricing valuation",137,2,1,1,0,"2 code-review-relevant open roles (1 developer experience, 1 application security) of 137 on the board: Principal Engineer, Engineering Productivity; Sr. Manager, Information Security - Application Security and Red Team | Funding: IPO on Nasdaq 18 Sept 2025, approximately $908M raised","Netskope is hiring a Senior Manager for Application Security and Red Team alongside a Principal Engineer for Engineering Productivity, less than a year after its Nasdaq IPO. Post-IPO, delivery metrics and security findings become reportable numbers, and a security vendor whose own code ships from Santa Clara, Toronto, Bengaluru, Taipei and Manila has an obvious review-consistency problem to solve.",https://boards.greenhouse.io/netskope
ID.me,Digital Identity / Government Services,"McLean, VA",,"Series E, $340M total ($65M equity plus $275M credit facility), Sept 2025, at over $2B valuation, led by Ribbit Capital",51,2,1,1,0,"2 code-review-relevant open roles (2 staff platform) of 51 on the board: Staff Site Reliability Engineer; Staff Software Engineer - Wallet/Authentication Platform | Funding: $340M raised Sept 2025 at over $2B valuation, led by Ribbit Capital with Ares Management and Viking Global","ID.me's Principal Engineer on the Person and Trust Platform closed this cycle; two staff platform reqs remain active on the back of a $340M raise aimed squarely at AI-driven fraud. Identity code that federal and state agencies rely on cannot ship faster by adding reviewers, and every merge into the trust path is audit-relevant.",https://boards.greenhouse.io/idme
Vercel,Developer Tools and Cloud Infrastructure,"San Francisco, CA",,"Series F, $300M, Sep 2025, co-led by Accel and GIC, at a $9.3B valuation",89,4,1,0,0,"4 code-review-relevant open roles (4 application security) of 89 on the board: Product Security Engineer; Security Software Engineer (IAM); Security Software Engineer (Open Source Frameworks); Senior Security Software Engineer (v0) | Funding: Series F, $300M, Sep 2025, at a $9.3B valuation","Vercel is hiring four AppSec engineers across product security, IAM, open-source framework supply-chain security, and platform security simultaneously. Deployment infrastructure and CDN code paths are where review standards need to be explicit rather than cultural, and four concurrent AppSec hires means four threat models forming at once.",https://boards-api.greenhouse.io/v1/boards/vercel/jobs
Harvey,AI for Legal and Professional Services,"San Francisco, CA",,"$200M, Mar 2026, with GIC, Sequoia and Kleiner Perkins leading, at an $11B valuation",9,2,1,0,1,"2 code-review-relevant open roles (2 application security) across San Francisco and New York of 9 on the board | Funding: $200M, Mar 2026, at an $11B valuation | Expansion: the Hexus engineering team joined Harvey in Jan 2026, hiring across San Francisco, New York, Toronto and Bengaluru","Harvey has two active AppSec roles spanning San Francisco and New York on fresh $200M Series F capital. Enterprise legal AI at $11B valuation with two concurrent security engineering reqs is the moment to propose code-review automation before the compliance stack hardens.",https://api.ashbyhq.com/posting-api/job-board/harvey
Decagon,AI Agents for Customer Experience,"San Francisco, CA",,"Series D, $250M, Jan 2026, co-led by Coatue and Index Ventures, at a $4.5B valuation",10,0,1,1,1,"0 code-review-relevant open roles this cycle (Ashby board contracted from 128 to 10 total; DevEx and agent platform reqs likely moved to LinkedIn) | Funding: Series D, $250M, Jan 2026, at a $4.5B valuation | Expansion: agent platform reqs previously duplicated across San Francisco and New York City","Decagon's board contracted sharply from 128 to 10 total; no DevEx or platform security reqs visible this cycle. Funding and expansion signals are intact. Re-verify via LinkedIn for active DevEx or platform security reqs before outreach.",https://api.ashbyhq.com/posting-api/job-board/decagon
Sierra,AI Agents for Customer Experience,"San Francisco, CA",,"Series E, $950M, May 2026, led by GV and Tiger Global, at a $15.8B valuation",7,1,1,0,1,"1 code-review-relevant open role (1 platform engineering) of 7 on the board: Software Engineer, Platform (San Francisco) | Funding: Series E, $950M, May 2026, at a $15.8B valuation | Expansion: engineering presence expanding to New York alongside San Francisco","Sierra raised $950M in May and now has an active Software Engineer Platform req. A freshly capitalized AI agent company expanding to New York with a platform engineering hire is exactly the window to get in front of the engineering tooling decision before the review stack is set.",https://api.ashbyhq.com/posting-api/job-board/sierra
Fivetran,Data Integration and Analytics Platform,"Oakland, CA",,No new raise verified in the last 12 months; the dbt Labs combination was an all-stock transaction,176,3,0,0,1,"3 code-review-relevant open roles (3 developer experience) of 176 on the board: Senior Full Stack Engineer - Developer Productivity (Novi Sad, Serbia); Principal Software Engineer, AI Tooling and Adoption (Oakland, California); Senior Developer Experience Advocate | Expansion: merger with dbt Labs completed Jun 1, 2026, with dbt Core v2.0 and the Fusion engine shipped at close, and roles now posted at a dbt Austin site","Board grew from 137 to 176 as dbt Labs roles merged in; three Developer Experience reqs confirm the inner-loop review tooling decision is active post-merger. Fewer reviewers across more new code - the leverage argument is stronger, not weaker.",https://boards-api.greenhouse.io/v1/boards/fivetran/jobs
Replit,AI Developer Tools,"Foster City, CA",,"Series D, $400M, Mar 2026, led by Georgian, at a $9B valuation",8,1,1,0,1,"1 code-review-relevant open role of 8 on the board; Ashby board grew slightly from 7 to 8 total | Funding: Series D, $400M, Mar 2026, at a $9B valuation | Expansion: standing up an SRE function in Remote Europe and a new Money and payments engineering group alongside the enterprise platform build-out","Replit raised $400M in March and is building an enterprise platform, Money org, and European SRE presence; one DevEx/AppSec req confirmed active this cycle. Ashby board at 8 total - most hiring likely via LinkedIn. Re-verify for the full DevEx/AppSec picture before outreach.",https://api.ashbyhq.com/posting-api/job-board/replit
