Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Discord,Consumer Social / Comms,"San Francisco, CA","1,000-1,500","Private, ~$8.5B",58,10,0,0,0,"10 platform/infra roles incl. Platform Infrastructure, Database Infrastructure, Data Platform | S-1 filed Mar 2026, IPO possibly Oct 2026","Active IPO preparation under new CEO Humam Sakhnini - platform reliability and infrastructure investment is a board-level priority ahead of public listing.",https://discord.com/careers
Robinhood,Fintech / Brokerage,"Menlo Park, CA","2,000-3,000",Public (NASDAQ: HOOD),129,9,0,0,1,"9 platform/infra roles incl. Kubernetes Compute, Storage & Data Platform, Network Reliability | WonderFi closed Jun 1 2026 - Canada platform integration underway","WonderFi acquisition (closed Jun 1 2026) creates active Kubernetes, storage, and data-platform integration work across Toronto and Bellevue.",https://careers.robinhood.com/
Faire,E-commerce / Wholesale Marketplace,"San Francisco, CA","1,000-1,200","Private, ~$5.2B",77,7,1,0,0,"$100M Series I (Nov 2025) | 7 platform-eng roles (ML Platform x4, Data/Growth Platform x3) | Profitability push","Fresh $100M Series I (Nov 2025) with growing ML-platform team (7 matched roles) - cloud-cost and platform-efficiency tooling is a CFO-friendly fit heading into 2026/2027 IPO window.",https://job-boards.greenhouse.io/faire
Gusto,HR / Payroll SaaS,"San Francisco, CA","2,000-3,000","Private, ~$10B",80,5,1,0,0,"$175M Series F (Oct 2025) | 5 platform/infra roles incl. Database Infrastructure, Core AI Platforms, Tax Platform Engineering","$175M Series F (Oct 2025) at $10B valuation with platform team actively hiring including new Senior Staff Tax Platform Engineering role - cloud-cost discipline on the CFO agenda.",https://job-boards.greenhouse.io/gusto
Chime,Fintech / Neobank,"San Francisco, CA","1,000-1,500",Public (NASDAQ: CHYM),64,5,0,0,0,"5 platform/infra roles incl. Infrastructure, ML & Financial Platform | First full year public","Newly public and scaling platform/infra teams under public-market cost scrutiny - reliability and cost discipline are live priorities.",https://job-boards.greenhouse.io/chime
Lyft,Mobility / Rideshare,"San Francisco, CA","2,500-3,000",Public (NASDAQ: LYFT),193,4,0,0,0,"4 platform/infra roles incl. Data-Platform Lakehouse, Growth Platforms, Ad Infra | Total open roles surged 120→193 (+73 net)","Major hiring ramp (+73 roles to 193 total) with data-platform lakehouse and growth-platform teams actively building - platform tooling conversation timely.",https://app.careerpuck.com/job-board/lyft
Komodo Health,Healthcare-Tech / Data,"San Francisco, CA","500-1,000","Private, $514M raised",43,4,0,1,0,"4 platform/infra roles incl. Cloud Systems Eng (new), Infrastructure Eng, Platform Eng | New CTO Amit Sangani (ex-Meta, Jan 2026) | AI reorg","New CTO from Meta (Jan 2026) re-platforming the Marmot AI stack with fresh Cloud Systems Engineer opening - a rare exec-led infra re-evaluation window.",https://job-boards.greenhouse.io/komodohealth
Twilio,Communications SaaS / CPaaS,"San Francisco, CA","5,000+",Public (NYSE: TWLO),221,3,0,0,0,"3 platform/infra roles (Cloud SWE, Infrastructure Eng - Stytch, Staff Data Platform) | Stytch identity platform acq (Oct 2025)","Large platform footprint with Stytch infrastructure integration ongoing - steady data-platform and reliability hiring suggests active tooling needs.",https://job-boards.greenhouse.io/twilio
Cohere Health,Healthcare-Tech,"Boston, MA","500-1,000",Private (Series C $90M May 2025),66,3,0,0,0,"3 platform-eng roles (Platform Eng x2, Software Eng Data Platform) | ZignaAI acq (Sep 2025) | $90M Series C (May 2025)","ZignaAI acquisition expanding clinical AI capabilities - active platform engineering team building; good timing for cloud-infra and observability tooling standards.",https://job-boards.greenhouse.io/coherehealth
Brex,Fintech / Corporate Cards,"San Francisco, CA","1,000-1,500",Acquired by Capital One (Apr 2026),139,3,0,0,0,"3 Cloud Infrastructure EM roles | Capital One integration ongoing | Platform/infra SWE headcount contracted post-acquisition","Cloud Infrastructure EM openings mid-Capital One integration indicate active platform consolidation work - right time to discuss tooling standardization as teams merge.",https://www.brex.com/careers
