Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Baseten,,"San Francisco, CA",~300,"Series E, $300M at $5B valuation, Jan 2026 (IVP and CapitalG)...",72,9,1,0,1,"9 relevant open roles incl. Manager, Cloud Platform & Site Reliability, OS / K8s Systems Engineer, Software Engineer - Infrastructure | Funding: Series E, $300M at $5B valuation, Jan 2026 (IVP and CapitalG)... | Expansion: Annualized revenue run rate jumped from about $200M to $600M in one quarter of 2026 as...","GPU inference fleets across multiple clouds with revenue tripling in a quarter is the definition of production observability pain, and they are hiring an entire cloud platform and SRE org right now.",https://baseten.co/blog
Temporal Technologies,,"Bellevue, WA",~700,"Series D, $300M at $5B valuation, Feb 2026",57,7,1,0,1,"7 relevant open roles incl. Senior Software Engineer, Observability, Staff Software Engineer, Observability, Staff Software Engineer, Infrastructure Foundations | Funding: Series D, $300M at $5B valuation, Feb 2026 | Expansion: Temporal Cloud passed 2,500 customers with revenue up 4.4x in 18 months; 7M+ unique clusters...",Two dedicated observability engineer reqs open plus compute and infrastructure foundations hires right after a $300M Series D; their cloud runs mission critical workflows where every outage is a customer incident.,https://temporal.io/news
Whatnot,,"Los Angeles, CA (SF/NYC/LA + Krakow eng hub)","~1,000","Series F, $225M, Oct 15 2025, $11.5B valuation, DST Global + CapitalG",134,7,1,0,1,"7 relevant open roles incl. Software Engineer, Infrastructure (Krakow), Engineering Manager, Backend Platforms, ML Infrastructure Engineer | Funding: Series F, $225M, Oct 15 2025, $11.5B valuation, DST Global + CapitalG | Expansion: 1 billion lifetime orders (Jun 2026); largest livestream shopping platform in NA and Europe...",Live video commerce means real time infrastructure where seconds of downtime kill auctions; fresh $225M and a new European engineering hub with infra reqs open on both continents.,https://jobs.ashbyhq.com/whatnot
Supabase,,"San Francisco, CA (remote-first, global)",~200,"Series E, $100M at $5B valuation, Oct 2025",51,5,1,0,1,"5 relevant open roles incl. Head of Observability, Site Reliability Engineer, Customer Reliability Engineer | Funding: Series E, $100M at $5B valuation, Oct 2025 | Expansion: Reported $500M raise at $10.5B valuation Jun 2026 per CNBC; 4M+ developers as vibe coding boom...",They are literally hiring a Head of Observability plus SRE and reliability engineers while their hosted Postgres fleet explodes with AI-built apps; the buying champion role is open today.,https://supabase.com/blog/supabase-series-e
Render,,"San Francisco, CA",~150,"Series C extension, $100M at $1.5B valuation, Feb 2026",27,5,1,0,1,"5 relevant open roles incl. Software Engineer, Compute Infrastructure, Software Engineer, Network Infrastructure, Engineering Manager, Platform | Funding: Series C extension, $100M at $1.5B valuation, Feb 2026 | Expansion: 4.5M+ developers on platform, adding 250K+ per month; building unified AI application runtime...",A cloud platform hosting millions of customer apps is scaling compute and network infrastructure teams right after new capital; multi tenant reliability is their entire product promise.,https://render.com/blog/series-c
Kalshi,,"New York, NY",~300,"Series F, $1B at $22B valuation, May 2026",35,3,1,0,1,"3 relevant open roles incl. Site Reliability Engineer, Infrastructure Engineer, Software Engineer, Trading Platform | Funding: Series F, $1B at $22B valuation, May 2026 | Expansion: Institutional adoption accelerating with Morgan Stanley and ARK on the cap table; eyeing 2027...","A regulated real time trading exchange growing this fast cannot tolerate latency or downtime, and it has SRE and infrastructure reqs open alongside a war chest.",https://jobs.ashbyhq.com/kalshi
Chainguard,,"Kirkland, WA (remote-first)",~550,$280M growth investment from General Catalyst Customer Value Fund...,76,3,1,0,1,"3 relevant open roles incl. Staff Software Engineer (Customer Platform), Senior Software Engineer (Customer Platform), Staff Security Engineer (AI Platform) | Funding: $280M growth investment from General Catalyst Customer Value Fund... | Expansion: ARR grew 7x to $40M in FY2025 with a stated target of $100M+ ARR by end of FY2026; massive...","Their product is rebuilding thousands of open source images continuously, a huge build and delivery pipeline to monitor, and hiring is concentrated on the customer platform that serves it.",https://job-boards.greenhouse.io/chainguard
Strava,,"San Francisco, CA (+Denver)",~950,"Confidential draft S-1 filed Feb 2026, IPO expected 2026 at ~$3B (no...",31,3,1,0,1,"3 relevant open roles incl. Staff Engineer, Core Services Platform, Senior Server Engineer, Platform and Dev Productivity, Platform Engineer, GenAI/ML | Funding: Confidential draft S-1 filed Feb 2026, IPO expected 2026 at ~$3B (no... | Expansion: Acquired Runna (Apr 2025) + The Breakaway (May 2025); headcount up ~45% YoY; IPO prep","IPO prep forces reliability and cost discipline across a consumer platform absorbing two acquisitions, and core services platform hiring is active now.",https://press.strava.com
Plaid,,"San Francisco, CA","~1,300",,116,4,0,0,1,"4 relevant open roles incl. Staff Site Reliability Engineer - Release Engineering, Staff Software Engineer - Data Infrastructure, Senior Software Engineer - Data Infrastructure | Expansion: Revenue up 40% to $500M+; 150M+ consumers connected; tender offer at $8B valuation Feb 2026...","Bank connectivity is an uptime business where every integration failure is visible to fintech customers, and staff level SRE plus data infrastructure reqs are open during IPO prep.",https://jobs.ashbyhq.com/plaid
Ramp,,"New York, NY","~1,500","Series F, $750M at $44B valuation, Jun 2026",129,2,1,0,1,"2 relevant open roles incl. Software Engineer, Production Engineering, Software Engineer, Engineering Platform | Funding: Series F, $750M at $44B valuation, Jun 2026 | Expansion: TPV grew ~170% YoY in Mar 2026, fastest in three years; expanding into AI token spend...",Payments volume growing 170% on a card platform means production incidents cost real money per minute; dedicated production engineering and platform reqs are open post mega round.,https://jobs.ashbyhq.com/ramp
Chess.com,,"Fully remote, 600+ people in 60+ countries",~600,CVC Capital Partners investment Jun 2026 (Fund IX),2,2,1,0,1,"2 relevant open roles incl. Site Reliability Engineer (leading the hybrid cloud migration), Database Engineer | Funding: CVC Capital Partners investment Jun 2026 (Fund IX) | Expansion: 250M registered members (50M added in ~1 yr), 38M MAU, ~$150M revenue profitable; active...","An SRE req that explicitly leads a bare metal to hybrid cloud migration is the single best timing signal an observability seller can get, backed by fresh PE money.",https://chess.com/news
